frequency,permittivity,conductivity
1,31609708.383514024,0.02120416081909192
1.5848931924611136,31515477.364384584,0.021321743980138103
2.51188643150958,31281247.208774194,0.021614020783426224
3.981071705534973,30708010.758408517,0.022329317275780775
6.309573444801933,29356969.756152023,0.024015182142188545
10,26436887.65349196,0.027658980809780277
15.848931924611136,21157674.40057844,0.03424681538774004
25.118864315095802,14105890.308359977,0.04304751027541905
39.810717055349734,7707306.138000667,0.05103608776645313
63.095734448019336,3642544.061365051,0.05611991970507803
100,1612329.751727049,0.05868310188091143
158.48931924611136,718571.2071436673,0.05987161761440619
251.188643150958,344841.0631473672,0.06051023454591238
398.1071705534973,187287.54820561237,0.06107685418101666
630.9573444801933,113533.22401748569,0.061832386097909815
1000,71741.12786123829,0.06277754557997868
1584.8931924611136,46327.304892461834,0.06370337764454546
2511.8864315095802,32115.696349315418,0.06457453442121434
3981.0717055349733,24149.31600545105,0.0656891114337219
6309.573444801933,18337.299755367814,0.06741937192368792
10000,12969.34093410552,0.06972051608034344
15848.931924611135,8553.25131628551,0.07198285158894707
25118.8643150958,5733.216834213433,0.07387702083049559
39810.717055349734,4137.580137086347,0.07585117747725242
63095.734448019335,3081.593216622585,0.07859676880761766
100000,2194.776516605514,0.08216390446976049
