frequency,permittivity,conductivity
1,5258.859700757088,0.7000000000003276
1.5848931924611136,5258.859700452586,0.7000000000008232
2.51188643150958,5258.859700222502,0.7000000000020677
3.981071705534973,5258.85969998199,0.7000000000051938
6.309573444801933,5258.859699590753,0.7000000000130466
10,5258.859698742343,0.700000000032772
15.848931924611136,5258.8596966959985,0.7000000000823192
25.118864315095802,5258.859691609291,0.7000000002067766
39.810717055349734,5258.859678865799,0.7000000005193996
63.095734448019336,5258.859646876889,0.7000000013046725
100,5258.859566537825,0.7000000032771894
158.48931924611136,5258.859364743761,0.7000000082319264
251.188643150958,5258.858857865755,0.7000000206776581
398.1071705534973,5258.857584651784,0.7000000519398882
630.9573444801933,5258.854386501657,0.7000001304668425
1000,5258.846353218106,0.7000003277162613
1584.8931924611136,5258.826175185583,0.7000008231757436
2511.8864315095802,5258.775494440124,0.7000020676590843
3981.0717055349733,5258.648216530684,0.7000051933154301
6309.573444801933,5258.328675120955,0.7000130424372436
10000,5257.527070399315,0.7000327448597866
15848.931924611135,5255.520106309639,0.7000821491717029
25118.8643150958,5250.519858101061,0.7002057109124744
39810.717055349734,5238.211321134741,0.7005127916231942
63095.734448019335,5208.773389573085,0.7012647152608737
100000,5142.738318626646,0.703048775758744
