frequency,permittivity,conductivity
1,5259.997252357337,0.7000000000009652
1.5848931924611136,5259.995840550672,0.7000000000023157
2.51188643150958,5259.993703889113,0.700000000005555
3.981071705534973,5259.99046994955,0.7000000000133256
6.309573444801933,5259.98557498658,0.7000000000319658
10,5259.978165542354,0.7000000000766806
15.848931924611136,5259.966949374425,0.7000000001839431
25.118864315095802,5259.9499694685865,0.700000000441246
39.810717055349734,5259.9242611701,0.7000000010584652
63.095734448019336,5259.885331341677,0.7000000025390427
100,5259.8263657083,0.7000000060906015
158.48931924611136,5259.7370192098115,0.7000000146098341
251.188643150958,5259.601562419649,0.7000000350447299
398.1071705534973,5259.396024053083,0.7000000840598312
630.9573444801933,5259.083747008201,0.7000002016214077
1000,5258.608390021146,0.7000004835683941
1584.8931924611136,5257.882713216127,0.700001159680139
2511.8864315095802,5256.770184306937,0.7000027807111514
3981.0717055349733,5255.053902686897,0.7000066661822503
6309.573444801933,5252.382212808032,0.7000159753051004
10000,5248.169764885499,0.7000382637181392
15848.931924611135,5241.410477522892,0.7000915699411601
25118.8643150958,5230.311932966978,0.7002188337040138
39810.717055349734,5211.563863229894,0.7005217565887393
63095.734448019335,5178.864322467955,0.7012390534722452
100000,5120.009190103198,0.7029217198264315
158489.31924611135,5011.5425719510395,0.7068010621249867
251188.643150958,4810.707024381127,0.71545703356931
398107.17055349733,4450.046224530852,0.7336270817245859
630957.3444801933,3856.50377205511,0.7678508693903177
1000000,3026.3049593756755,0.822113721639483
1584893.1924611137,2106.269272037469,0.8906026187503854
2511886.43150958,1318.6037622186807,0.9589739572819356
3981071.705534973,777.7539983031066,1.0163884209308809
6309573.444801933,456.8849974459797,1.0612098269168089
10000000,280.03294730458316,1.096745796604669
15848931.924611136,184.6404623005393,1.1267304000680796
25118864.3150958,132.67754268525303,1.153850884750518
39810717.05534973,103.62021485488715,1.1798298550372706
63095734.44801933,86.83521225535974,1.2058555983917956
100000000,76.81824544438247,1.2330451037368768
