frequency,permittivity,conductivity
10,5259.063230581006,0.7000000001229468
12.589254117941673,5259.062295053224,0.7000000001430908
15.848931924611136,5259.061703631371,0.7000000001750097
19.952623149688797,5259.061328765407,0.7000000002255927
25.118864315095802,5259.061089584418,0.7000000003057577
31.62277660168379,5259.0609344792565,0.7000000004328093
39.810717055349734,5259.060829978169,0.7000000006341719
50.11872336272724,5259.0607535280105,0.7000000009533079
63.095734448019336,5259.060688628701,0.7000000014591043
79.43282347242815,5259.060621272631,0.7000000022607386
100,5259.060536921547,0.7000000035312414
125.89254117941672,5259.060417368652,0.7000000055448528
158.48931924611136,5259.060236808734,0.7000000087362107
199.526231496888,5259.059956268261,0.7000000137941692
251.188643150958,5259.059515193061,0.7000000218104876
316.2277660168379,5259.058818378148,0.7000000345154844
398.1071705534973,5259.057715418817,0.7000000546515127
501.18723362727235,5259.055968248394,0.7000000865648821
630.9573444801933,5259.053199758448,0.7000001371439529
794.3282347242816,5259.0488124171725,0.7000002173058453
1000,5259.041859335598,0.7000003443525444
1258.9254117941673,5259.030839991244,0.7000005457046327
1584.8931924611136,5259.013376615934,0.7000008648177461
1995.2623149688798,5258.985701647525,0.7000013705567509
2511.8864315095802,5258.941846242738,0.7000021720458207
3162.277660168379,5258.872356275029,0.7000034421867202
3981.0717055349733,5258.7622626372595,0.7000054548888
5011.872336272724,5258.587877691933,0.7000086439644049
6309.573444801933,5258.311751288969,0.7000136961959713
7943.282347242815,5257.874759792653,0.7000216981482159
10000,5257.183775243723,0.70003436713283
